,City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Two Hills,53.72,-111.75,59.94,42,0,7.4,CA,1590691164
1,Albany,42.6,-73.97,80.01,61,70,12.08,US,1590690949
2,Xining,36.62,101.77,47.93,52,0,3.27,CN,1590691143
3,Rikitea,-23.12,-134.97,76.71,85,4,8.03,PF,1590690941
4,Provideniya,64.38,-173.3,32.88,96,100,7.9,RU,1590690953
5,Bengkulu,-3.8,102.27,77.13,86,99,2.89,ID,1590690942
6,Kwang Binh,17.48,106.6,77.97,87,17,2.82,VN,1590691164
7,Chui,-33.7,-53.46,65.88,65,0,3.51,UY,1590691024
8,Jamestown,42.1,-79.24,71.01,94,90,5.82,US,1590690713
9,Hermanus,-34.42,19.23,55.99,95,100,11.01,ZA,1590690954
10,Sukhumi,43.0,41.02,63.82,88,100,5.37,GE,1590691165
11,Bredasdorp,-34.53,20.04,62.6,67,100,16.11,ZA,1590690941
12,Marawi,8.0,124.29,75.0,91,49,5.99,PH,1590690954
13,Fortuna,40.6,-124.16,61.0,100,90,4.7,US,1590690956
14,Kruisfontein,-34.0,24.73,59.76,63,100,8.68,ZA,1590690974
15,Chapais,49.78,-74.85,84.2,39,75,13.87,CA,1590690964
16,Ushuaia,-54.8,-68.3,41.0,52,100,6.93,AR,1590690943
17,Bonthe,7.53,-12.51,80.89,86,100,7.87,SL,1590690993
18,Bluff,-46.6,168.33,49.84,82,99,8.32,NZ,1590690945
19,Cape Town,-33.93,18.42,61.0,100,90,14.99,ZA,1590690701
20,The Valley,18.22,-63.06,87.8,69,20,9.17,AI,1590690922
21,Okha,53.57,142.95,34.63,94,100,6.38,RU,1590691178
22,Isangel,-19.55,169.27,71.6,88,20,9.04,VU,1590690984
23,Ponta do Sol,32.67,-17.1,66.99,70,28,5.01,PT,1590690956
24,Diamantino,-14.41,-56.45,85.3,46,0,1.9,BR,1590691178
25,Muli,2.92,73.57,83.64,74,100,13.85,MV,1590691487
26,Aksha,50.28,113.29,46.72,79,100,5.1,RU,1590691487
27,Flinders,-34.58,150.86,55.99,90,29,1.01,AU,1590690947
28,Busselton,-33.65,115.33,61.0,71,11,20.29,AU,1590690944
29,Butaritari,3.07,172.79,82.6,79,6,13.15,KI,1590690943
30,Saint-Philippe,-21.36,55.77,75.2,68,41,6.93,RE,1590690967
31,Mataura,-46.19,168.86,40.59,93,48,0.94,NZ,1590690946
32,Avarua,-21.21,-159.78,77.0,94,59,13.87,CK,1590690953
